driverId,name,total_hours_logged,total_miles_logged
10,Wayne Trout,1615.79,73575
11,Xavier Marshall,1821.08,89650
12,Edward Olson,1319.42,67981
13,John Turner,1363.54,67063
14,Anna Simmons,1390.54,68312
15,Russell Tate,1296.81,61859
16,Curtis Moon,1405.08,70582
17,Richard Spence,1544.81,71350
18,Betty Carter,1355.19,65275
19,James Bailey,1532.92,71985
20,Susan Harris,1311.0,65150
21,Raymond Brooks,1328.65,64430
22,Harold Sanders,1467.54,72325
23,Irene Kelly,1374.92,65699
24,Philip Cox,1318.0,64275
25,Martha Reed,1277.04,60255
26,Larry Price,1270.92,58180
27,Henry Barnes,1490.0,72145
28,Janet Powell,1341.0,67715
29,Albert Patterson,1663.04,81820
30,Dorothy Coleman,1449.42,71899
31,Eugene Henderson,1557.5,74765
32,Alice Jenkins,1370.54,68425
33,Victor Perry,1399.54,71535
34,Frances Long,1564.0,73100
35,Martin Hughes,1523.0,73310
36,Theresa Foster,1436.0,68650
37,Samuel Butler,1390.54,70050
38,Julia Ross,1499.92,71760
39,Arthur Griffin,1419.5,71380
40,Diane Hayes,1559.04,74375
41,Leonard Ward,1589.5,76885
42,Cheryl Flores,1312.5,64630
43,Ralph Ramirez,1390.0,68299
